frequency,frequency,amplitude,phase,I,Q
5210000000.0,5376750000.0,0.1304026775650843,-0.5338379370798959,0.11225851625204086,-0.06635423004627228
5210000000.0,5377000000.0,0.12943362958762794,-0.5269793950443009,0.11187338829040527,-0.06509538739919662
5210000000.0,5377250000.0,0.12818481441428095,-0.5240188839302928,0.11098437011241913,-0.06413903832435608
5210000000.0,5377500000.0,0.13180182907102464,-0.531864942630417,0.11359509080648422,-0.06684218347072601
5210000000.0,5377750000.0,0.1288205283012877,-0.5310192945063916,0.1110808253288269,-0.06523633003234863
5210000000.0,5378000000.0,0.12972357851399982,-0.5290282604481735,0.11199009418487549,-0.06547079980373383
5210000000.0,5378250000.0,0.12952776109691141,-0.5276151968569087,0.11191330850124359,-0.0652138963341713
5210000000.0,5378500000.0,0.12910196090992596,-0.5204182962276669,0.11201031506061554,-0.06419505923986435
5210000000.0,5378750000.0,0.12833684230327386,-0.5241918310015319,0.11110489070415497,-0.06423432379961014
5210000000.0,5379000000.0,0.1308700321209326,-0.5428760271644072,0.11205438524484634,-0.06760754436254501
5210000000.0,5379250000.0,0.13066930958353068,-0.5459485786367642,0.11167458444833755,-0.06784729659557343
5210000000.0,5379500000.0,0.13022532860064642,-0.540220307931883,0.11168064177036285,-0.06697813421487808
5210000000.0,5379750000.0,0.12994152533590472,-0.5318537668239796,0.1119925007224083,-0.06589749455451965
5210000000.0,5380000000.0,0.1290627084900867,-0.5288075820883539,0.11143393814563751,-0.06511267274618149
5210000000.0,5380250000.0,0.13000042575175802,-0.5426105063185876,0.1113276332616806,-0.0671287477016449
5210000000.0,5380500000.0,0.1306602122824861,-0.540064746760345,0.11206404864788055,-0.06718437373638153
5210000000.0,5380750000.0,0.13009937247764894,-0.5349776456020109,0.11192189157009125,-0.06632749736309052
5210000000.0,5381000000.0,0.1286918530706055,-0.5346318730000295,0.11073371022939682,-0.065571628510952
5210000000.0,5381250000.0,0.12763805482472002,-0.5363471997960858,0.10971524566411972,-0.06522298604249954
